Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,470nF,
"C10, C11, C13, C14",0402,4,10uF,
C12,0402,1,100nF,
"C15, C2, C3, C4, C5, C6, C7, C8, C9",0402,9,1uF,
C16,0402,1,10nF,
"FB1, FB3",IND_1005_TDK-L,2,MMZ1005S121CT000,
"FB2, FB4, FB5, FB6, FB7",IND_1005_TDK-L,5,MMZ1005B601CT000,
J3,Hirose_DF40HC(3.0)-40DS-0.4V_2x20_P0.4mm,1,DF40HC_3.0_-40DS-0.4V_51,
J4,Hirose_DF40HC(3.0)-50DS-0.4V_2x25_P0.4mm,1,DF40HC_3.0_-50DS-0.4V_51,
R1,0402,1,150,
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U$1,BGA40N50P9X12_500X650X90-V,1,BGT60TR13C,
U1,KC2016K_KYO,1,KC2016K80.0000C1GE00,
